id,judul,klik_tawaran,klik_kita,userId
928552898675867,Toko Kurma Mesir Tunisia Madu,9,0,61555815998885
2051202405243156, daging kambing  ,9,0,61553510910622
378788115076349,Pusat Botol Toples Plastik,9,0,61555820115539
321499643759797,Suplier Kurma,9,1,61555851913976
362883129714429,BISA COD,9,2,61553605736704
1070369837418993,BISA DIANTAR,9,2,61555881965593
934945427984751,Importir Kurma Muda rutob Premium,9,2,61556157135771
421772773687398,Toko Kurma Muda rutob Premium,9,2,61555881965593
906480154513316,Toko Kurma Muda rutob Premium,9,2,61555695314957
662759515811297, daging kambing  sampil,8,0,61554511897656
449840770712872, daging kambing  ,8,0,61556130445680
214706531712256, daging kambing murah ,8,0,61553632484587
1365688483990858, daging kambing  ,8,0,61555927143848
1913713139057467,MAINAN ANAK PUZZLE,8,0,61558690719964
392267926757479,FREE ONGKIR Kurma Muda rutob Premium,8,1,61556115166626
249611661452876,FREE ONGKIR Kurma Sukari Premium,8,1,61556142198689
264287429948236,Gudang Kurma Ajwa Premium,8,1,61555716713931
946597617069815,FREE ONGKIR Kurma Sukari Premium,8,2,61556115166626
947758403541949,TERIMA RUTIN,8,2,61553725191128
3534208593511725,Tidak Lebus,8,2,61554705207966
1332226427474896,Pusat Kurma,8,2,61556146292116
1657686538334646,TERBAGUS Kurma,8,2,61555756691442
2491087661071104,Suplier Toples Plastik Tabung,7,0,61555959970754
949480563212549,Toko Kurma mesir,7,0,61556372032675
1109904957016691,Toko Kurma Ajwa Nabi Premium,7,0,61555875284788
938396444352557, daging kambing  sampil,7,0,61556243157847
373382871961467,MASIH SEGAR,7,1,61553605736704
912321413903386,Raja Kurma,7,2,61555675305653
1765833570561492,BISA COD,7,2,61555716713931
1369485677063978,READY RATUSAN KG,7,2,61554705207966
1043114020568119, daging kambing  sampil,6,0,61555720993527
368248176187110, daging kambing  sampil,6,0,61555851913976
799565002195980,Importir Kurma mesir,6,0,61555770550809
1138954527258811, daging kambing  sampil,6,0,61556308857149
1433929567232983,COD Kurma Tunisia kering,6,1,60555647037036
359638280311463,FREE ONGKIR Kurma,6,1,61556142198689
1382114282414318,FREE ONGKIR Kurma Sukari Premium,6,1,61556126165677
342537348627428,BISA DIANTAR,6,1,61553916359635
385911240468437,Empuk,6,2,61553725191128
364993359702419,Suplier Kurma Sukari Premium,6,2,61555846184527
705240285141648,Toko Kurma Sukari Premium,6,2,61556372132675
394960066506030,TERBAGUS Kurma Tunisia basah,6,2,61556199839667
914780560434992,Toko Kurma Tunisia basah,6,2,61556118266264
761372275903836,Suplier Kurma Muda Rutob Premium,6,2,61556118266264
713696444123197,TERMURAH Kurma Tunisia non tangkai,6,2,61556251700613
2250344148642049, daging kambing  ,5,0,61553970928063
727038372831694,Pabrik Toples Plastik,5,0,61555946439377
784436027069708,TERBAGUS Kurma mesir,5,0,61556137495360
1089914125553883,Suplier Kurma Mesir Tunisia Madu,5,0,61555839967572
375992708676322, daging kambing  ,5,0,61556215741125
340860035001481,COD Toples Tabung Plastik,5,0,61555884912659
1142653353548970,TANAH VILLA BATU VIEW BAGUS,5,0,61556207191434
1062174488419844,Importir Kurma Muda rutob Premium,5,1,61556062618754
1387147901917431,Gudang Kurma Muda ruthob Premium,5,1,61556372132675
1619832928757870,COD Kurma Tunisia kering,5,1,61555986787876
246044055200711,MASIH SEGAR,5,1,61554872541470
1560842554663953,BISA DIANTAR,5,1,61554729538489
1773022569871247,Gudang Kurma Sukari Premium,5,1,61555696844743
249269681484924,Pusat Kurma Sukari Premium,5,1,61556146292116
724966572774523,TERMURAH Kurma Ajwa Premium,5,1,61555485395017
832908161878827,NEGO DITEMPAT,5,1,61555485395017
1112713593255274,Gudang Kurma,5,1,61555696844743
273046032190588,BISA COD,5,1,61553916359635
405155398835198,TERMURAH Kurma,5,2,61555695314957
